source_class,source_file,dep_fqn,dep_simple,dep_category,rel_type,is_internal_target
ComboBoxCellEditor,ComboBoxCellEditor.java,TableCellEditor,TableCellEditor,unknown,implements,False
ComboBoxCellEditor,ComboBoxCellEditor.java,Serializable,Serializable,unknown,implements,False
CSVReader,CSVReader.java,java.io.BufferedReader,BufferedReader,java_stdlib,import,False
CSVReader,CSVReader.java,java.io.File,File,java_stdlib,import,False
CSVReader,CSVReader.java,java.io.FileInputStream,FileInputStream,java_stdlib,import,False
CSVReader,CSVReader.java,java.io.IOException,IOException,java_stdlib,import,False
CSVReader,CSVReader.java,java.io.InputStream,InputStream,java_stdlib,import,False
CSVReader,CSVReader.java,java.io.InputStreamReader,InputStreamReader,java_stdlib,import,False
CSVReader,CSVReader.java,java.io.Reader,Reader,java_stdlib,import,False
CSVReader,CSVReader.java,java.util.ArrayList,ArrayList,java_stdlib,import,False
CSVReader,CSVReader.java,gov.nist.microanalysis.EPQLibrary.EPQFatalException,EPQFatalException,nist_epqlibrary,import,False
DescriptiveStatistics,DescriptiveStatistics.java,java.util.Collection,Collection,java_stdlib,import,False
DescriptiveStatistics,DescriptiveStatistics.java,Comparable,Comparable,unknown,implements,False
EachRowEditor,EachRowEditor.java,java.awt.Component,Component,java_stdlib,import,False
EachRowEditor,EachRowEditor.java,java.awt.event.MouseEvent,MouseEvent,java_stdlib,import,False
EachRowEditor,EachRowEditor.java,java.util.EventObject,EventObject,java_stdlib,import,False
EachRowEditor,EachRowEditor.java,java.util.Hashtable,Hashtable,java_stdlib,import,False
EachRowEditor,EachRowEditor.java,javax.swing.DefaultCellEditor,DefaultCellEditor,javax_stdlib,import,False
EachRowEditor,EachRowEditor.java,javax.swing.JCheckBox,JCheckBox,javax_stdlib,import,False
EachRowEditor,EachRowEditor.java,javax.swing.JComboBox,JComboBox,javax_stdlib,import,False
EachRowEditor,EachRowEditor.java,javax.swing.JTable,JTable,javax_stdlib,import,False
EachRowEditor,EachRowEditor.java,javax.swing.JTextField,JTextField,javax_stdlib,import,False
EachRowEditor,EachRowEditor.java,javax.swing.event.CellEditorListener,CellEditorListener,javax_stdlib,import,False
EachRowEditor,EachRowEditor.java,javax.swing.table.TableCellEditor,TableCellEditor,javax_stdlib,import,False
EachRowEditor,EachRowEditor.java,TableCellEditor,TableCellEditor,unknown,implements,False
ElementComboBoxModel,ElementComboBoxModel.java,java.util.ArrayList,ArrayList,java_stdlib,import,False
ElementComboBoxModel,ElementComboBoxModel.java,java.util.Collection,Collection,java_stdlib,import,False
ElementComboBoxModel,ElementComboBoxModel.java,java.util.HashSet,HashSet,java_stdlib,import,False
ElementComboBoxModel,ElementComboBoxModel.java,java.util.List,List,java_stdlib,import,False
ElementComboBoxModel,ElementComboBoxModel.java,java.util.Set,Set,java_stdlib,import,False
ElementComboBoxModel,ElementComboBoxModel.java,javax.swing.ComboBoxModel,ComboBoxModel,javax_stdlib,import,False
ElementComboBoxModel,ElementComboBoxModel.java,javax.swing.event.ListDataEvent,ListDataEvent,javax_stdlib,import,False
ElementComboBoxModel,ElementComboBoxModel.java,javax.swing.event.ListDataListener,ListDataListener,javax_stdlib,import,False
ElementComboBoxModel,ElementComboBoxModel.java,gov.nist.microanalysis.EPQLibrary.Element,Element,nist_epqlibrary,import,False
ElementComboBoxModel,ElementComboBoxModel.java,ComboBoxModel,ComboBoxModel,unknown,implements,False
ElementTreePanel,ElementTreePanel.java,java.awt.BorderLayout,BorderLayout,java_stdlib,import,False
ElementTreePanel,ElementTreePanel.java,java.awt.Dimension,Dimension,java_stdlib,import,False
ElementTreePanel,ElementTreePanel.java,java.awt.Font,Font,java_stdlib,import,False
ElementTreePanel,ElementTreePanel.java,java.beans.PropertyChangeEvent,PropertyChangeEvent,java_stdlib,import,False
ElementTreePanel,ElementTreePanel.java,java.beans.PropertyChangeListener,PropertyChangeListener,java_stdlib,import,False
ElementTreePanel,ElementTreePanel.java,java.util.Enumeration,Enumeration,java_stdlib,import,False
ElementTreePanel,ElementTreePanel.java,java.util.Vector,Vector,java_stdlib,import,False
ElementTreePanel,ElementTreePanel.java,javax.swing.JLabel,JLabel,javax_stdlib,import,False
ElementTreePanel,ElementTreePanel.java,javax.swing.JPanel,JPanel,javax_stdlib,import,False
ElementTreePanel,ElementTreePanel.java,javax.swing.JScrollPane,JScrollPane,javax_stdlib,import,False
ElementTreePanel,ElementTreePanel.java,javax.swing.JTree,JTree,javax_stdlib,import,False
ElementTreePanel,ElementTreePanel.java,javax.swing.SwingConstants,SwingConstants,javax_stdlib,import,False
ElementTreePanel,ElementTreePanel.java,javax.swing.event.CaretEvent,CaretEvent,javax_stdlib,import,False
ElementTreePanel,ElementTreePanel.java,javax.swing.event.CaretListener,CaretListener,javax_stdlib,import,False
ElementTreePanel,ElementTreePanel.java,javax.swing.event.DocumentEvent,DocumentEvent,javax_stdlib,import,False
ElementTreePanel,ElementTreePanel.java,javax.swing.event.DocumentListener,DocumentListener,javax_stdlib,import,False
ElementTreePanel,ElementTreePanel.java,javax.swing.event.TreeSelectionEvent,TreeSelectionEvent,javax_stdlib,import,False
ElementTreePanel,ElementTreePanel.java,javax.swing.event.TreeSelectionListener,TreeSelectionListener,javax_stdlib,import,False
ElementTreePanel,ElementTreePanel.java,javax.swing.text.AttributeSet,AttributeSet,javax_stdlib,import,False
ElementTreePanel,ElementTreePanel.java,javax.swing.text.Document,Document,javax_stdlib,import,False
ElementTreePanel,ElementTreePanel.java,javax.swing.text.Element,Element,javax_stdlib,import,False
ElementTreePanel,ElementTreePanel.java,javax.swing.text.JTextComponent,JTextComponent,javax_stdlib,import,False
ElementTreePanel,ElementTreePanel.java,javax.swing.text.StyleConstants,StyleConstants,javax_stdlib,import,False
ElementTreePanel,ElementTreePanel.java,javax.swing.tree.DefaultMutableTreeNode,DefaultMutableTreeNode,javax_stdlib,import,False
ElementTreePanel,ElementTreePanel.java,javax.swing.tree.DefaultTreeCellRenderer,DefaultTreeCellRenderer,javax_stdlib,import,False
ElementTreePanel,ElementTreePanel.java,javax.swing.tree.DefaultTreeModel,DefaultTreeModel,javax_stdlib,import,False
ElementTreePanel,ElementTreePanel.java,javax.swing.tree.TreeModel,TreeModel,javax_stdlib,import,False
ElementTreePanel,ElementTreePanel.java,javax.swing.tree.TreeNode,TreeNode,javax_stdlib,import,False
ElementTreePanel,ElementTreePanel.java,javax.swing.tree.TreePath,TreePath,javax_stdlib,import,False
ElementTreePanel,ElementTreePanel.java,JPanel,JPanel,unknown,extends,False
ElementTreePanel,ElementTreePanel.java,CaretListener,CaretListener,unknown,implements,False
ElementTreePanel,ElementTreePanel.java,DocumentListener,DocumentListener,unknown,implements,False
ElementTreePanel,ElementTreePanel.java,PropertyChangeListener,PropertyChangeListener,unknown,implements,False
ElementTreePanel,ElementTreePanel.java,TreeSelectionListener,TreeSelectionListener,unknown,implements,False
ExponentFormat,ExponentFormat.java,java.text.FieldPosition,FieldPosition,java_stdlib,import,False
ExponentFormat,ExponentFormat.java,java.text.NumberFormat,NumberFormat,java_stdlib,import,False
ExponentFormat,ExponentFormat.java,java.text.ParsePosition,ParsePosition,java_stdlib,import,False
ExponentFormat,ExponentFormat.java,NumberFormat,NumberFormat,unknown,extends,False
HalfUpFormat,HalfUpFormat.java,java.math.RoundingMode,RoundingMode,java_stdlib,import,False
